Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_046;2019;COLOMBIA;405,40;1.436,53;4.216,54;7.781,58;4.585,84;7.189,63;591,95;282,15;7,54;1,58;3,73;16,17;1,54;18,46;7,61;3,92;7,61;9;BBB
Id_047;2019;COLOMBIA;1.249,98;5.583,52;5.075,88;11.393,85;7.174,79;10.688,03;705,82;193,17;2,07;1,98;1,80;12,36;0,76;49,00;6,19;1,88;6,19;11;BB+
Id_048;2019;COSTA_RICA;192,62;560,58;4.610,76;6.241,19;3.768,15;4.993,57;1.247,61;362,09;4,25;1,47;5,80;4,89;0,94;8,98;19,99;4,70;19,99;14;B+
Id_049;2019;COSTA_RICA;1.540,90;2.028,27;7.538,13;12.515,43;9.350,05;11.308,47;1.206,96;434,25;6,39;0,98;3,51;3,52;0,34;16,21;9,64;2,97;9,64;14;B+
Id_050;2019;COSTA_RICA;455,93;506,53;2.175,82;3.109,30;2.119,02;2.801,59;307,70;124,56;1,69;1,72;4,01;6,10;0,60;16,29;9,90;2,36;9,90;13;BB-
Id_051;2019;COSTA_RICA;1.069,74;587,09;6.711,57;10.428,93;7.582,55;9.328,28;1.100,64;339,71;3,62;-0,33;3,25;6,43;0,68;5,63;10,55;3,29;10,55;14;B+
Id_053;2019;ECUADOR;960,04;619,98;3.419,53;5.178,31;4.020,87;4.716,91;461,40;234,92;2,31;1,58;4,72;13,90;1,24;11,97;8,91;5,02;8,91;16;B-
Id_054;2019;ECUADOR;1.815,58;964,96;9.447,46;13.914,64;11.086,12;12.543,96;1.370,68;824,61;3,49;1,36;6,20;10,25;1,02;6,93;9,85;6,20;13,43;16;B-
Id_056;2019;EL_SALVADOR;929,80;1.028,06;3.475,85;4.894,22;3.575,55;4.314,48;579,73;238,43;1,32;1,35;5,07;18,07;2,05;21,01;11,85;3,17;14,50;15;B
Id_057;2019;EL_SALVADOR;499,30;343,10;1.986,60;2.823,90;1.873,30;2.526,70;297,20;119,30;2,01;2,00;4,40;8,30;0,90;12,15;10,52;2,93;13,94;15;B
Id_058;2019;GUATEMALA;392,05;103,46;1.880,68;3.414,72;2.669,47;3.004,22;410,50;229,95;1,37;0,97;6,96;24,95;2,73;3,03;12,62;3,61;12,62;13;BB-
Id_117;2019;MEXICO;86,90;189,16;1.536,35;2.164,34;1.773,36;1.872,07;292,27;40,32;12,76;14,16;1,97;2,31;0,30;8,74;13,50;7,58;10,64;14;B+
Id_059;2019;MEXICO;957,68;4.549,59;4.941,16;10.158,69;8.010,72;9.023,83;1.134,87;2.504,57;3,66;6,89;27,00;10,19;1,21;44,79;11,17;23,14;15,06;10;BBB-
Id_060;2019;MEXICO;179,78;174,06;1.405,10;1.678,62;143,28;1.046,54;632,08;861,72;3,16;9,71;52,09;20,50;7,47;10,37;37,65;34,76;32,59;10;BBB-
Id_061;2019;MEXICO;43,87;118,37;382,19;642,99;142,22;439,26;203,73;112,23;3,87;2,78;17,35;9,26;2,69;18,41;31,69;12,12;21,54;13;BB-
Id_062;2019;MEXICO;3,87;118,90;0,00;134,69;0,00;46,20;88,49;7,79;0,00;0,00;6,26;-7,51;-5,51;88,28;65,70;21,61;160,39;11;BB+
